[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Hindi Set-1],[सामान्य ज्ञान: [भारत के राष्ट्रीय गीत का नाम क्या है?]],[वन्दे मातरम्],[जन गण मन],[सारे जहाँ से अच्छा],[सत्यमेव जयते],[जन गण मन],[भारत का राष्ट्रीय गीत "जन गण मन" है।],[easy],[General Knowledge],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[इतिहास: [रामायण के रचयिता कौन हैं?]],[वाल्मीकि],[व्यास],[तुलसीदास],[कबीर],[वाल्मीकि],[रामायण के मूल रचयिता महर्षि वाल्मीकि हैं।],[medium],[History],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[भूगोल: [भारत की सबसे लंबी नदी कौन सी है?]],[गंगा],[यमुना],[गोदावरी],[कावेरी],[गंगा],[गंगा भारत की सबसे लंबी नदी है।],[easy],[Geography],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[इतिहास: [महात्मा गांधी का जन्म वर्ष क्या है?]],[1869],[1875],[1880],[1857],[1869],[महात्मा गांधी का जन्म 2 अक्टूबर 1869 को हुआ था।],[easy],[History],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[राजनीति विज्ञान: [भारत के पहले प्रधानमंत्री कौन थे?]],[जवाहरलाल नेहरू],[लाल बहादुर शास्त्री],[राजेंद्र प्रसाद],[इंदिरा गांधी],[जवाहरलाल नेहरू],[भारत के पहले प्रधानमंत्री पं. नेहरू थे।],[easy],[Polity],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[विज्ञान: [जल का रासायनिक सूत्र क्या है?]],[H₂O],[O₂],[CO₂],[NaCl],[H₂O],[जल का रासायनिक सूत्र H₂O है।],[easy],[Science],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[साहित्य: [तुलसीदास की प्रसिद्ध कृति कौन सी है?]],[रामचरितमानस],[गीता],[कुमारसम्भव],[महाभारत],[रामचरितमानस],[तुलसीदास ने रामचरितमानस की रचना की।],[medium],[Literature],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[राजनीति विज्ञान: [भारत में संविधान कब लागू हुआ?]],[1950],[1947],[1952],[1960],[1950],[भारत का संविधान 26 जनवरी 1950 को लागू हुआ।],[easy],[Polity],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[विज्ञान: [कौन-सा ग्रह ‘लाल ग्रह’ कहलाता है?]],[मंगल],[बुध],[शुक्र],[श्याम],[मंगल],[मंगल ग्रह को लाल ग्रह कहा जाता है।],[easy],[Science],[1],[single]
[ASI Bihar Exam],[Hindi Set-1],[इतिहास: [भारत के पहले राष्ट्रपति कौन थे?]],[डॉ. राजेंद्र प्रसाद],[डॉ. सर्वपल्ली राधाकृष्णन],[जवाहरलाल नेहरू],[लाल बहादुर शास्त्री],[डॉ. राजेंद्र प्रसाद],[भारत के पहले राष्ट्रपति डॉ. राजेंद्र प्रसाद थे।],[easy],[History],[1],[single]
