[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[English],[Basic English Test],[Choose the correct synonym for 'Happy'],[Sad],[Joyful],[Angry],[Tired],[Joyful],[Synonym of 'happy' is 'joyful'],[easy],[Vocabulary],[1],[single]
[English],[Basic English Test],[Choose the correct antonym for 'Difficult'],[Easy],[Hard],[Tough],[Challenging],[Easy],[Antonym of 'difficult' is 'easy'],[easy],[Vocabulary],[1],[single]
[English],[Basic English Test],[Identify the noun in the sentence: 'The cat sleeps on the mat.'],[Cat],[Sleeps],[On],[The],[Cat],[The noun in the sentence is 'cat'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Select the correct form: 'She ____ to the store yesterday.'],[Go],[Goes],[Went],[Going],[Went],[Past tense of 'go' is 'went'],[medium],[Grammar],[1],[single]
[English],[Basic English Test],[Choose the correct article: 'I saw ___ elephant in the zoo.'],[A],[An],[The],[No article],[An],[Use 'an' before a vowel sound'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Fill in the blank: 'I have ____ apples.'],[Some],[Any],[Many],[Few],[Some],[Use 'some' for unspecified positive quantity'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Pick the correct plural form of 'Child'],[Childs],[Children],[Childes],[Child],[Children],[Plural of 'child' is 'children'],[medium],[Grammar],[1],[single]
[English],[Basic English Test],[Choose the correct spelling],[Definately],[Definitely],[Definitly],[Definetly],[Definitely],[Correct spelling is 'definitely'],[medium],[Spelling],[1],[single]
[English],[Basic English Test],[Select the correct meaning of 'Benevolent'],[Kind],[Cruel],[Lazy],[Angry],[Kind],[Benevolent means 'kind' or 'generous'],[medium],[Vocabulary],[1],[single]
[English],[Basic English Test],[Identify the verb in the sentence: 'She runs every morning.'],[She],[Runs],[Every],[Morning],[Runs],[The verb in the sentence is 'runs'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Choose the correct tense: 'They ____ dinner now.'],[Eat],[Eats],[Eating],[Are eating],[Are eating],[Present continuous tense requires 'are' + verb-ing'],[medium],[Grammar],[1],[single]
[English],[Basic English Test],[Pick the correct preposition: 'He is interested ___ music.'],[In],[On],[At],[For],[In],[Correct preposition is 'in'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Choose the correct word: 'I have never seen ___ movie before.'],[A],[An],[The],[No article],[A],[Use 'a' before a consonant sound'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Select the correct form: 'If I ___ you, I would apologize.'],[Was],[Were],[Am],[Be],[Were],[Use subjunctive mood: 'If I were you'],[medium],[Grammar],[1],[single]
[English],[Basic English Test],[Choose the synonym of 'Quick'],[Slow],[Fast],[Late],[Tired],[Fast],[Synonym of 'quick' is 'fast'],[easy],[Vocabulary],[1],[single]
[English],[Basic English Test],[Identify the adjective: 'The sky is very blue today.'],[Sky],[Is],[Blue],[Today],[Blue],[The adjective describing 'sky' is 'blue'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Select the correct conjunction: 'I like tea ___ coffee.'],[And],[But],[Or],[So],[And],[Use 'and' to connect similar items'],[easy],[Grammar],[1],[single]
[English],[Basic English Test],[Pick the correct homophone: 'I can hear/hear the birds.'],[Hear],[Here],[Hair],[Her],[Hear],[Correct word is 'hear'],[medium],[Vocabulary],[1],[single]
[English],[Basic English Test],[Choose the correct plural: 'Mouse'],[Mouses],[Mice],[Mices],[Mouse],[Mice],[Plural of 'mouse' is 'mice'],[medium],[Grammar],[1],[single]
[English],[Basic English Test],[Fill in the blank with correct pronoun: 'This is ___ book.'],[Me],[I],[My],[Mine],[My],[Correct possessive pronoun is 'my'],[easy],[Grammar],[1],[single]
