[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Hindi Set-2],[सामान्य ज्ञान: [भारतीय संसद के किस सदन को ‘ऊपरी सदन’ कहा जाता है?]],[लोकसभा],[राज्यसभा],[विधानसभा],[जनसभा],[राज्यसभा],[राज्यसभा को भारतीय संसद का ऊपरी सदन कहा जाता है।],[medium],[General Knowledge],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[विज्ञान: [मानव शरीर की सबसे बड़ी हड्डी कौन सी है?]],[रीढ़ की हड्डी],[जांघ की हड्डी],[बाँह की हड्डी],[पैर की हड्डी],[जांघ की हड्डी],[फीमर (जांघ की हड्डी) मानव शरीर की सबसे बड़ी हड्डी है।],[medium],[Science],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[इतिहास: [प्लासी का युद्ध कब हुआ था?]],[1757],[1764],[1857],[1781],[1757],[प्लासी का युद्ध 1757 में हुआ था जिसमें ब्रिटिशों ने सत्ता स्थापित की।],[hard],[History],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[गणित: [यदि किसी संख्या का 25% = 40 है, तो वह संख्या क्या होगी?]],[140],[120],[160],[100],[160],[40 = 25% है, तो संख्या 40 × 4 = 160 होगी।],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[तर्क शक्ति: [श्रृंखला में अगली संख्या खोजें: 5, 11, 23, 47, ?]],[95],[94],[100],[90],[95],[हर संख्या ×2 +1: 47×2+1 = 95.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[भूगोल: [पृथ्वी का घूर्णन किस दिशा में होता है?]],[पूर्व से पश्चिम],[पश्चिम से पूर्व],[उत्तर से दक्षिण],[दक्षिण से उत्तर],[पश्चिम से पूर्व],[पृथ्वी पश्चिम से पूर्व की ओर घूमती है।],[easy],[Geography],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[राजनीति विज्ञान: [भारत में राष्ट्रपति का चुनाव कौन करता है?]],[जनता सीधे],[प्रधानमंत्री],[निर्वाचक मंडल],[सांसद अकेले],[निर्वाचक मंडल],[राष्ट्रपति का चुनाव निर्वाचक मंडल करता है जिसमें सांसद और विधायक शामिल होते हैं।],[medium],[Polity],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[विज्ञान: [किस गैस को ‘हास्य गैस’ कहा जाता है?]],[नाइट्रस ऑक्साइड],[कार्बन डाइऑक्साइड],[हीलियम],[मीथेन],[नाइट्रस ऑक्साइड],[N₂O को हास्य गैस कहा जाता है क्योंकि यह मस्ती का एहसास कराती है।],[medium],[Science],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[सामान्य ज्ञान: [बीहू भारत के किस राज्य का प्रमुख त्योहार है?]],[असम],[बिहार],[मणिपुर],[मेघालय],[असम],[बीहू असम का प्रमुख त्योहार है।],[easy],[General Knowledge],[1],[single]
[ASI Bihar Exam],[Hindi Set-2],[इतिहास: [दिल्ली सल्तनत का पहला शासक कौन था?]],[कुतुबुद्दीन ऐबक],[इल्तुतमिश],[अलाउद्दीन खिलजी],[बलबन],[कुतुबुद्दीन ऐबक],[कुतुबुद्दीन ऐबक दिल्ली सल्तनत का प्रथम शासक था।],[medium],[History],[1],[single]
